ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum
ISic020039,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020040,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020041,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020042,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020043,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020044,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020045,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020046,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020047,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020048,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020049,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020050,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020051,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020052,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020053,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020054,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020055,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020056,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020057,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020058,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020059,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020060,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020061,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020062,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020063,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020064,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020065,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020066,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020067,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020068,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020069,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020070,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020071,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ISic020072,,,,,,ceramic,,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
