"
ISic",type wip,subtype dropdown,subtype old,subtype,,Ancient place,Date after,Date before,Type of text,Execution ,Language,Link to image,Museum,ref,,test batch,subtype old,,subtype work in progress,formation,details,placeName,category,text description,macro description,micro description,Notes and comments,certainty,", likely ",location,data to check,Udden–Wentworth scale (BGS),matrix/cement,classification Folk,classification Dunham,unit,formation,member,location,geological age,"visually assessed polished (compact), smooth (soft), rough",-supported,brecciated?,visually assessed colour (fresh cut),visually assessed colour (alteration),veined?,visually assessed visible porosity,stylolites?,predominant grain size by class,predominant crystal size by class,visually assessed homogeneity of grainsize,,OM?,OM grains bio,DM grains bio,DM observations,OM dolomite crystals,DM dolomite crystals,OM grains ooids,OM grains pisoids,OM grains oncoids,OM grains peloids,OM grains intra,OM grains extra,OM grains extra description,OM bio grains description,OM grains extra granulometry max (mm),OM matrix micrite,OM cement sparite,OM cement druse,OM cement fibrous,OM quartz,OM quartz granulometry min (mm),OM quartz granulometry max (mm),OM microsparite and sparite (%),OM micrite (%),glauconite,plagioclase,feldspars,limonite,pyrite,apatite,Fe OX-HOX,chert,dolomite,smell,XRD?,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspar,Plagioclase,Pyroxene,Sulphates,Sulphides,Olivine,Graphite,other,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,pXRF Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr
ISic000095y,,,,,,,,,,,,,,,,no,Buccheri_FM,Buccheri_FM,unspecified,buccheri,,,buccheri formation?,"breccia with orangish clasts (ca. 10-20 cm), red and white veins, likely BUC (mudstone elements with foraminifera and Fe-Mn veins (saccocoma, sponge spicolae, Fe-Mn encrustation)).","breccia with orangish clasts (ca. 10-20 cm), red and white veins","mudstone elements with foraminifera and Fe-Mn veins (saccocoma, sponge spicolae, Fe-Mn encrustation)",,1,BUC,Sicily,,,,,,imerese,buccheri,,,,polished,matrix,yes,yellow,,no,no,no,sand,micrite,,,yes,yes,yes,,,,,,,,,,,"saccocoma, sponge spicolae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098pi,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,sand-grade,micrite,,wackestone,imerese,buccheri,,,,polished,matrix,yes,dark pink,,no,no,no,sand,micrite,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098pu,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,na,Fe-Mn opaque minerals,,,imerese,buccheri,,,,polished,matrix,yes,purple,,yes,no,no,sand,micrite,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098w,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,na,sparry calcite,,,imerese,buccheri,,,,polished,matrix,yes,white,,yes,no,no,sand,sparite,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000098y,,,,,,,,,,,,,,,,yes,Buccheri_FM,Buccheri_FM,Buccheri_FM,buccheri,,na,brecciated_limestone,"brecciated red limestone with white veins, likely BUC (wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation).",brecciated red limestone with white veins,"wackestone (lamellibranchs, radiolarians, sponge spicules) with Fe-Mn encrustation",,1,BUC,Sicily,,na,na,,,imerese,buccheri,,,,polished,matrix,yes,yellow,,no,no,no,sand,,,,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000934,stone.limestone.polishable.grey,calcare_grigio_SiciliaOCC,sicilia-occidentale,calcare_grigio_SiciliaOCC,brecciated,,,,,,,,,,,,,,,,,,,"grey limestone with grey and red/purple veins, likely calcare brecciato Sicilia Occidentale (crystalline limestone with grey sparite veins, red incrustation).",grey limestone with grey and red/purple veins,"crystalline limestone with grey sparite veins, red incrustation",,,calcare brecciato Sicilia Occidentale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000632,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,yes,Taormina,Taormina,Taormina,,,Taormina,limestone,"massive light grey limestone, likely calcare di Taormina (DOA) (dolomitized ooidal/peloidal grainstone with sparite veins).",massive light grey limestone,dolomitized ooidal/peloidal grainstone with sparite veins,,1,calcare di Taormina (DOA),Sicily,,sand-grade,micrite,,packstone,,,,,,polished,grain,no,grey,,yes,no,no,sand,sparite,no,,yes,no,no,,yes,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000652,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,yes,Taormina,Taormina,Taormina,,,Taormina,limestone,"massive light grey limestone with ooids/peloids and fine white veins, likely calcare di Taormina (DOA) (dolomitized ooidal/peloidal grainstone with calcite veins).",massive light grey limestone with ooids/peloids and fine white veins,dolomitized ooidal/peloidal grainstone with calcite veins,,1,calcare di Taormina (DOA),Sicily,,sand-grade,micrite,,packstone,,,,,,polished,grain,no,grey,,yes,no,no,sand,sparite,no,,yes,no,no,,yes,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000823,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"massive light grey limestone, likely calcare di Taormina (DOA) (ooidal/peloidal grainstone with sparite veins).",massive light grey limestone,ooidal/peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,yes,grey,,yes,no,no,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001246,stone.limestone.polishable.grey,calcare_grigio_SiciliaOR_taormina,sicilia-orientale,calcare_grigio_SiciliaOR_taormina,taormina,,,,,,,,,,,,,,unspecified,,,,pietra di Taormina,"greyish limestone with grey veins, likely calcare di Taormina (DOA) (peloidal grainstone with sparite veins).",greyish limestone with grey veins,peloidal grainstone with sparite veins,,,calcare di Taormina (DOA),,,,,,,,,,,,polished,grain,no,cream white,,yes,no,no,sand,,,,no,,no,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
