"
ISic",type wip,subtype dropdown,subtype old,subtype,,Ancient place,Date after,Date before,Type of text,Execution ,Language,Link to image,Museum,ref,,test batch,subtype old,,subtype work in progress,formation,details,placeName,category,text description,macro description,micro description,Notes and comments,certainty,", likely ",location,data to check,Udden–Wentworth scale (BGS),matrix/cement,classification Folk,classification Dunham,unit,formation,member,location,geological age,"visually assessed polished (compact), smooth (soft), rough",-supported,brecciated?,visually assessed colour (fresh cut),visually assessed colour (alteration),veined?,visually assessed visible porosity,stylolites?,predominant grain size by class,predominant crystal size by class,visually assessed homogeneity of grainsize,,OM?,OM grains bio,DM grains bio,DM observations,OM dolomite crystals,DM dolomite crystals,OM grains ooids,OM grains pisoids,OM grains oncoids,OM grains peloids,OM grains intra,OM grains extra,OM grains extra description,OM bio grains description,OM grains extra granulometry max (mm),OM matrix micrite,OM cement sparite,OM cement druse,OM cement fibrous,OM quartz,OM quartz granulometry min (mm),OM quartz granulometry max (mm),OM microsparite and sparite (%),OM micrite (%),glauconite,plagioclase,feldspars,limonite,pyrite,apatite,Fe OX-HOX,chert,dolomite,smell,XRD?,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspar,Plagioclase,Pyroxene,Sulphates,Sulphides,Olivine,Graphite,other,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,pXRF Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr
ISic003020,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003170,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003178,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade grainstone with scaphopoda and bivalves (pectinids?)).",whitish calcarenite with grey patina,sand-grade grainstone with scaphopoda and bivalves (pectinids?),,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brown,no,no,no,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003334,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,whitish,grey,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003355,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003356,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with pectinids, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with pectinids,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003357,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003368,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite , likely calcarenite degli Iblei (sand-grade grainstone with scaphopoda, bivalves).",whitish calcarenite ,"sand-grade grainstone with scaphopoda, bivalves",,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,grey,,no,no,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003370,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,no,Noto,Noto,Noto,,,,calcarenite ,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (packstone with planktonic foraminfera, nummulites).",whitish calcarenite with brown patina,"packstone with planktonic foraminfera, nummulites",,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003375,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003380,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003381,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003382,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003383,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003384,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,no,"Melilli, Noto","Melilli, Noto",Melilli/Noto,,,,calcarenite ,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (packstone with planktonic foraminifera).",whitish calcarenite with brown patina,packstone with planktonic foraminifera,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,dark brown,no,no,no,sand,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003387,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003425,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003484,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,grey,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003685,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with grey patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,brownish,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004450,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004452,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite with brown patina,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream,yellowish grey,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003418,stone.limestone.non-polishable,unspecified,unspecified,unspecified,,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004389,stone.limestone.non-polishable.yellowish,calcarenite_ibleiOR,iblei-orientali,calcarenite_ibleiOR,,,,,,,,,,,,no,giuggiulena,giuggiulena,panchina,,,,calcarenite,"yellow porous calcarenite with visible bioclasts, likely calcarenite degli Iblei (FNL or SNP) (grainstone with foraminifera, bryozoans?, nummulites, allochem, miliolids with sparitic cement).",yellow porous calcarenite with visible bioclasts,"grainstone with foraminifera, bryozoans?, nummulites, allochem, miliolids with sparitic cement",,2,calcarenite degli Iblei (FNL or SNP),,,,,,,,,,,,rough,grain,no,ochre yellow,brownish,no,yes,no,sand,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003373,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOR_giuggiulena,iblei-orientali,calcarenite_SiciliaOR_giuggiulena,,,,,,,,,,,,yes,giuggiulena,giuggiulena,panchina_FM,,,Syracuse,calcarenite,"yellow calcarenite with visible bioclasts, likely calcarenite degli Iblei (giuggiulena, panchina FM) (grainstone to packstone with red algae, foraminifera, echinoids, nummulites with sparitic cement and micrite coatings).",yellow calcarenite with visible bioclasts,"grainstone to packstone with red algae, foraminifera, echinoids, nummulites with sparitic cement and micrite coatings",,1,"calcarenite degli Iblei (giuggiulena, panchina FM)",Sicily,,sand-grade,micrite,,grainstone,,,,,,rough,grain,no,yellowish,,yes,yes,no,sand,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic002995,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR_pietra_di_Melilli, calcarenite_ibleiOR_pietra_di_Noto","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR_pietra_di_Melilli, calcarenite_ibleiOR_pietra_di_Noto",,,,,,,,,,,,no,"Melilli, Noto","Melilli, Noto",Melilli/Noto,,,,calcarenite ,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (pietra di Melilli, pietra di Noto) (wackestone with planktonic foraminifera, with aragonite and dolomite).",whitish calcarenite with brown patina,"wackestone with planktonic foraminifera, with aragonite and dolomite",,2,"calcarenite degli Iblei (pietra di Melilli, pietra di Noto)",,,,,,,,,,,,smooth,,no,cream white,brown,no,no,no,sand,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003365,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR_pietra_di_Melilli, calcarenite_ibleiOR_pietra_di_Noto","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR_pietra_di_Melilli, calcarenite_ibleiOR_pietra_di_Noto",,,,,,,,,,,,no,"Melilli, Noto","Melilli, Noto",Melilli/Noto,,,,calcarenite ,"whitish calcarenite with grey patina, likely calcarenite degli Iblei (pietra di Melilli, pietra di Noto) (packstone with planktonic foraminfera, glauconite, bivalves?).",whitish calcarenite with grey patina,"packstone with planktonic foraminfera, glauconite, bivalves?",,,"calcarenite degli Iblei (pietra di Melilli, pietra di Noto)",,,,,,,,,,,,smooth,,no,cream white,,no,no,no,sand,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic002754,stone.limestone.non-polishable.whitish,calcarenite_ibleiOR_pietra_di_Noto,"iblei-orientali, iblei-occidentali",calcarenite_ibleiOR_pietra_di_Noto,,,,,,,,,,,,yes,Palazzolo_FM,Palazzolo_FM,Palazzolo_FM,,,Noto,calcarenite,"whitish calcarenite with brown patina, likely calcarenite degli Iblei (pietra di Noto, Palazzolo FM) (wackestone with sponge spiculae, planktonic foraminifera, quartz).",whitish calcarenite with brown patina,"wackestone with sponge spiculae, planktonic foraminifera, quartz",,1,"calcarenite degli Iblei (pietra di Noto, Palazzolo FM)",Sicily,,sand-grade,micrite,,wackestone,,,,,,smooth,,no,yellowish white,brownish,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003367,stone.limestone.non-polishable.whitish,calcarenite_ibleiOR_pietra_di_Noto,"iblei-orientali, iblei-occidentali",calcarenite_ibleiOR_pietra_di_Noto,,,,,,,,,,,,no,Noto,Noto,Noto,,,,calcarenite,"yellowish calcarenite , likely calcarenite degli Iblei (pietra di Noto, Palazzolo FM) (wackestone (sponge spicolae, planktonic foraminifera)).",yellowish calcarenite ,"wackestone (sponge spicolae, planktonic foraminifera)",,1,"calcarenite degli Iblei (pietra di Noto, Palazzolo FM)",,,,wackestone,,,,,,,,smooth,,no,yellowish white,brownish,no,no,no,sand,,,,yes,yes,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001041,stone.limestone.non-polishable.whitish,calcarenite_ibleiOR_pietra_di_Noto,"iblei-orientali, iblei-occidentali",calcarenite_ibleiOR_pietra_di_Noto,,,,,,,,,,,,no,Noto,Noto,Noto,,,,calcarenite,"whitish soft calcarenite with brownish patina, likely calcarenite degli Iblei (pietra di Noto, Palazzolo FM) (packstone with sponge spiculae, foraminifera and micritic mud).",whitish soft calcarenite with brownish patina,"packstone with sponge spiculae, foraminifera and micritic mud",,,"calcarenite degli Iblei (pietra di Noto, Palazzolo FM)",,,,,,,,,,,,smooth,matrix,no,cream white,brown,no,yes,no,sand,,yes,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic001122,stone.limestone.non-polishable.whitish,"calcarenite_SiciliaOR_Centuripe, calcarenite_SiciliaOR_Agira","iblei-orientali, iblei-occidentali, calcarenite_di_Centuripe, pietra_di_Melilli","calcarenite_SiciliaOR_Centuripe, calcarenite_SiciliaOR_Agira",,,,,,,,,,,,,,,unspecified,,,,calcarenite,"whitish calcarenite with brownish patina, likely calcarenite degli Iblei, calcarenite di Agira/Capodarso (sand-grade limestone with nummulites).",whitish calcarenite with brownish patina,sand-grade limestone with nummulites,,,"calcarenite degli Iblei, calcarenite di Agira/Capodarso",,,,packstone,,,,,,"agira, assoro",,rough,grain,no,cream white,,no,yes,no,sand,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003360,stone.limestone.non-polishable.yellowish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-occidentali, iblei-orientali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"whitish calcarenite, likely calcarenite degli Iblei (sand-grade limestone).",whitish calcarenite,sand-grade limestone,,,calcarenite degli Iblei,,,,,,,,,,,,rough,grain,no,grey,,no,no,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003361,stone.limestone.non-polishable.yellowish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-occidentali, iblei-orientali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite degli Iblei (sand-grade grainstone with scaphopoda, foraminifera and nummulites).",yellow porous calcarenite with visible bioclasts,"sand-grade grainstone with scaphopoda, foraminifera and nummulites",,,calcarenite degli Iblei,,,,,,,,,,,,rough,grain,no,grey,,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003362,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite degli Iblei (sand-grade grainstone with scaphopoda, foraminifera and nummulites).",yellow porous calcarenite with visible bioclasts,"sand-grade grainstone with scaphopoda, foraminifera and nummulites",,,calcarenite degli Iblei,,,,,,,,,,,,rough,grain,no,grey,yellowish grey,no,no,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003363,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC","iblei-orientali, iblei-occidentali","calcarenite_ibleiOR, calcarenite_ibleiOCC",,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite degli Iblei (sand-grade grainstone with scaphopoda).",yellow porous calcarenite with visible bioclasts,sand-grade grainstone with scaphopoda,,,calcarenite degli Iblei,,,,,,,,,,,,smooth,,no,cream white,grey,no,no,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003398,stone.limestone.non-polishable.whitish,"calcarenite_ibleiOR, calcarenite_ibleiOCC, calcarenite_SiciliaOR_Centuripe","iblei-orientali, iblei-occidentali, calcarenite_di_Centuripe","calcarenite_ibleiOR, calcarenite_ibleiOCC, calcarenite_SiciliaOR_Centuripe",,,,,,,,,,,,,Mt-Climiti_FM,Mt-Climiti_FM,unspecified,Mt. Climiti,,,calcarenite,"whitish calcarenite with visible bioclasts, likely calcarenite degli Iblei, calcarenite di Agira/Capodarso (sand-grade limestone with scaphopoda and nummulites).",whitish calcarenite with visible bioclasts,sand-grade limestone with scaphopoda and nummulites,,,"calcarenite degli Iblei, calcarenite di Agira/Capodarso",,,,,,,,Mt. Climiti,Melilli,eastern hyblean,,smooth,grain,no,cream white,cream,no,no,no,sand,,,,no,,yes,"scaphopoda, nummulites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003321,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOR,sicilia-orientale,calcarenite_SiciliaOR,,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite Sicilia Orientale (sand-grade limestone).",yellow porous calcarenite with visible bioclasts,sand-grade limestone,,,calcarenite Sicilia Orientale,,,,,,,,,,,,rough,grain,no,ochre yellow,brown,no,yes,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003322,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOR,sicilia-orientale,calcarenite_SiciliaOR,,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite Sicilia Orientale (sand-grade limestone with nummulites).",yellow porous calcarenite with visible bioclasts,sand-grade limestone with nummulites,,,calcarenite Sicilia Orientale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003374,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOR,sicilia-orientale,calcarenite_SiciliaOR,,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite , likely calcarenite Sicilia Orientale (sand-grade limestone).",yellow porous calcarenite ,sand-grade limestone,,,calcarenite Sicilia Orientale,,,,,,,,,,,,rough,grain,no,cream white,grey,no,no,no,sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic003364,stone.limestone.non-polishable.yellowish,calcarenite_SiciliaOR_Agira,calcarenite_di_Agira,calcarenite_SiciliaOR_Agira,,,,,,,,,,,,,,,unspecified,,,,,"yellow porous calcarenite with visible bioclasts, likely calcarenite di Agira (sand-grade grainstone with scaphopoda, foraminifera and nummulites).",yellow porous calcarenite with visible bioclasts,"sand-grade grainstone with scaphopoda, foraminifera and nummulites",,,calcarenite di Agira,,,,,,,,,,,,rough,grain,no,ochre yellow,brownish,no,yes,no,sand,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
