ISic,,Ancient place,Date after,Date before,Type of text,Execution,Language,Link to image,Museum,ref ,test batch,text description,subtype,subtype dropdown,"certainty for subtype (1 = high, 2 = medium, 3 = low)",notes and comments,macro description,visually assessed granulometry (Very fine < 0.5mm; fine < 1mm; Medium <2mm; Coarse > 2mm),visually assessed colour ,banded and/or veined,visually assessed colour of veins/bands,smell,micro description (OM + DM),OM desc,DM desc,digital microscopy?,digital microscopy MGS (mm),digital microscopy fabric,digital microscopy GBS,digital microscopy triple points,interpreted?,optical microscopy?,optical microscopy MGS (mm),optical microscopy  fabric,optical microscopy GBS,optical microscopy triple points,microstructure,microscopy lineated,microscopy porphyroblasts,microscopy fine grained areas,microscopy strained crystals,XRD?,,XRD carbonate content (%),main carbonate,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspars,Plagioclases,Pyroxenes,Sulphates,Sulphides,Olivine,Graphite,other,XRD cell parameter a (nm) ,XRD cell parameter a (nm) +-,XRD cell parameter c (nm),XRD cell parameters c (nm) +-,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr,microscopy / XRD / EPR: dolomite,microscopy / XRD: plagioclase,microscopy / XRD: rutile,microscopy / XRD: pyrite,microscopy / XRD: magnetite,microscopy / XRD: amphibole,microscopy / XRD: titanite,microscopy / XRD: zircon,microscopy / XRD: serpentine,microscopy / XRD: chlorite,microscopy / XRD: epidote,microscopy / XRD: quartz,microscopy / XRD: K mica,microscopy / XRD: Na mica,microscopy / XRD: Fe ore,microscopy / XRD: gypsum,microscopy / XRD: graphite,microscopy / XRD: apatite,isotopes?,isotopes delta18O,isotopes delta13C,EPR?,EPR Mn2+ ave,EPR Mn2+ stdevp,EPR dolomite %,EPR width ave,EPR width stdevp,EPR g=2.0044 ave,EPR g=2.0044 stdevp,EPR g=14.2515 ave,EPR g=14.2515 stdevp,LA-ICP-MS?,Li 7_2_2_1_1,B 11_2_2_1_1,Na 23_2_1_1,Mg 24_2_1_1,Sc 45_2_1_1,Ti 47_2_1_1,V 51_2_1_1,Cr 52_2_1_1,Mn 55_2_1_1,Fe 57_2_1_1,Co 59_2_1_1,Ni 60_2_1_1,Cu 63_2_1_1,Zn 66_2_1_1,Ga 69_2_1_1,As 75_2_1_1,Rb 85_2_1_1,Sr 88_2_1_1,Y 89_2_1_1,Zr 90_2_1_1,Nb 93_2_1_1,Mo 98_2_1_1,Cd 111_2_1_1,Sb 121_2_1_1,Cs 133_2_1_1,Ba 138_2_1_1,La 139_2_1_1,Ce 140_2_1_1,Nd 142_2_1_1,Sm 152_2_1_1,Eu 153_2_1_1,Gd 158_2_1_1,Dy 164_2_1_1,Er 166_2_1_1,Yb 174_2_1_1,Hf 180_2_1_1,W 184_2_1_1,Pb 208_2_1_1,Bi 209_2_1_1,Th 232_2_1_1,U 238_2_1_1
ISic000069,y,,,,,,,,,,yes,"Fine to medium-grained, banded, white, calcitic marble, likely Proconnesian. Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. Digital microscopy: indistinguishable fabric. ",Proconnesian,Proconnesian,1,,"Fine to medium-grained, banded, white, calcitic marble",Fine to medium,white,banded,grey,,Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. Digital microscopy: indistinguishable fabric. ,Optical microscopy: heteroblastic to homeoblastic fabric with fine-grained areas. ,Digital microscopy: indistinguishable fabric. ,yes,1.2,indistinguishable,"c, e",,yes,yes,1.3,heteroblastic to homeoblastic,"su, e",,,,,fine-grained areas,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-2.31,2.99,yes,,,,,,,,,,yes,0.26000,2.97000,19.24000,1710.96000,0.10454,10.72000,0.83000,3.43000,1.45000,4.35000,209.75000,0.22000,3.50000,1.03000,6.43000,0.07000,0.30000,0.13000,112.45000,4.59000,0.60000,0.04000,0.07000,0.56000,0.32000,0.04000,1.42000,1.80000,0.44000,0.80000,0.13000,0.03000,0.13000,0.30000,0.28000,0.10943,0.02000,10.35000,2.23000,8.91000,0.03000
ISic000097,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, grey, calcitic, smelly marble, likely Docimian. Optical microscopy: heteroblastic fabric with fine-grained areas. Digital microscopy: heteroblastic fabric. ",Docimian,Docimian,2,,"Fine to medium-grained, homogeneous, grey, calcitic, smelly marble",Fine to medium,grey,homogeneous,none,smelly,Optical microscopy: heteroblastic fabric with fine-grained areas. Digital microscopy: heteroblastic fabric. ,Optical microscopy: heteroblastic fabric with fine-grained areas. ,Digital microscopy: heteroblastic fabric. ,yes,2,heteroblastic,c,,yes,yes,1.4,heteroblastic,"c, e",,,,,fine-grained areas,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,-1.49,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000104,y,,,,,,,,,,yes,"Fine-grained, homogeneous, white, calcitic marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ",Lunense,Lunense,1,,"Fine-grained, homogeneous, white, calcitic marble",Fine,white,homogeneous,none,,"Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ","Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: homeoblastic fabric. ,yes,0.6,homeoblastic,"c, s",,yes,yes,0.8,homeoblastic,s,triple points,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,0.49825,,1.70309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-2.29,1.92,yes,,,,,,,,,,yes,1.09000,7.50000,45.58000,4899.40000,0.12983,21.02000,1.65000,4.64000,2.59000,142.81000,343.76000,0.27000,4.14000,2.70000,26.29000,0.25000,0.32000,0.67000,197.38000,1.53000,0.56000,0.10000,0.01000,0.47000,0.16000,0.04000,8.36000,0.71000,0.60000,0.48000,0.10000,0.02000,0.12000,0.15000,0.11000,0.03339,0.02000,4.19000,10.04000,40.11000,0.04000
ISic000107,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, white, smelly marble, likely Parian-1, Parian-2, Parian-4, Aphrodisian, Thasian-3, Ephesian_white. Digital microscopy: heteroblastic fabric. ","Parian-1, Parian-2, Parian-4, Aphrodisian, Thasian-3, Ephesian_white","Parian-1, Parian-2, Parian-4, Aphrodisian, Thasian-3, Ephesian_white",3,,"Fine to medium-grained, homogeneous, white, smelly marble",Fine to medium,white,homogeneous,none,smelly,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,1.6,heteroblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000121,y,,,,,,,,,,yes,"Fine to medium-grained, veined (scritto), white, calcitic, smelly marble, likely Ephesian_scritto, Algerian_scritto_Mt-Filfila. Optical microscopy: heteroblastic fabric with mosaic microstructure, lineated, fine-grained areas, strained crystals. Digital microscopy: heteroblastic fabric. ","Ephesian_scritto, Algerian_scritto_Mt-Filfila","Ephesian_scritto, Algerian_scritto_Mt-Filfila",2,,"Fine to medium-grained, veined (scritto), white, calcitic, smelly marble",Fine to medium,white,veined (scritto),black,smelly,"Optical microscopy: heteroblastic fabric with mosaic microstructure, lineated, fine-grained areas, strained crystals. Digital microscopy: heteroblastic fabric. ","Optical microscopy: heteroblastic fabric with mosaic microstructure, lineated, fine-grained areas, strained crystals. ",Digital microscopy: heteroblastic fabric. ,yes,2.2,heteroblastic,"c, e",,yes,yes,0.8,heteroblastic,"su, e",,mosaic microstructure,lineated,,fine-grained areas,strained crystals,yes,mica (clorite?),0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,-2.96,2.95,yes,,,,,,,,,,yes,0.14000,3.57000,108.82000,288.48000,0.06274,11.99000,0.46000,3.75000,1.11000,4.56000,132.96000,0.17000,3.71000,1.99000,4.98000,0.15000,0.12000,0.14000,245.55000,0.15000,0.01000,0.05000,0.02000,0.07000,0.09000,0.02000,2.83000,0.19000,0.22000,0.14000,0.03000,0.01000,0.03000,0.03000,0.02000,0.00605,0.00000,0.98000,4.15000,209.04000,0.07000
ISic000132 ,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, white, smelly marble, likely Docimian, Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Docimian, Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white","Docimian, Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white",3,,"Fine to medium-grained, homogeneous, white, smelly marble",Fine to medium,white,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.5,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000138,,,,,,,,,,,yes,"Fine to medium-grained, banded, grey marble, likely Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_grey. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_grey","Aphrodisian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_grey",3,,"Fine to medium-grained, banded, grey marble",Fine to medium,grey,banded,white,,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,1.5,heteroblastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000139,,,,,,,,,,,yes,"Medium-grained, homogeneous, white, smelly marble, likely Proconnesian. Digital microscopy: heteroblastic to homeoblastic fabric. ",Proconnesian,Proconnesian,2,,"Medium-grained, homogeneous, white, smelly marble",Medium,white,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,2,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000148,y,,,,,,,,,,yes,"Fine-grained, homogeneous, grey, calcitic, smelly marble, likely Lunense, Hymettan. Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ","Lunense, Hymettan","Lunense, Hymettan",2,,"Fine-grained, homogeneous, grey, calcitic, smelly marble",Fine,grey,homogeneous,none,smelly,"Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic fabric. ","Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: homeoblastic fabric. ,yes,0.6,homeoblastic,e,,yes,yes,0.8,homeoblastic to heteroblastic,"e, c",triple points,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,yes,-1.81,1.86,yes,,,,,,,,,,yes,1.64000,11.00000,175.21000,5335.39000,0.18567,56.98000,2.38000,4.84000,2.86000,27.82000,480.77000,0.33000,3.95000,1.78000,13.68000,0.20000,0.35000,0.80000,228.68000,1.63000,0.39000,0.20000,0.03000,0.41000,0.15000,0.02000,7.12000,0.96000,0.80000,0.71000,0.13000,0.03000,0.15000,0.17000,0.14000,0.04361,0.02000,5.97000,4.79000,2301.36000,0.09000
ISic000151,,,,,,,,,,,yes,"Very fine-grained, homogeneous, grey, smelly marble, likely Aphrodisian, Hymettan, Pentelic, Lunense, Parian-2, Ephesian_grey. Digital microscopy: indistinguishable fabric. ","Aphrodisian, Hymettan, Pentelic, Lunense, Parian-2, Ephesian_grey","Aphrodisian, Hymettan, Pentelic, Lunense, Parian-2, Ephesian_grey",3,,"Very fine-grained, homogeneous, grey, smelly marble",Very fine,grey,homogeneous,none,smelly,Digital microscopy: indistinguishable fabric. ,,Digital microscopy: indistinguishable fabric. ,yes,0.35,indistinguishable,na,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000154,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, grey, smelly marble, likely Docimian. Digital microscopy: heteroblastic to homeoblastic fabric. ",Docimian,Docimian,3,,"Fine to medium-grained, homogeneous, grey, smelly marble",Fine to medium,grey,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.3,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000161,,,,,,,,,,,yes,"Fine to medium-grained, homogeneous, white, smelly marble, likely Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white. Digital microscopy: heteroblastic to homeoblastic fabric. ","Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white","Parian-1, Parian-2, Parian-4, Aphrodisian, Ephesian_white",2,,"Fine to medium-grained, homogeneous, white, smelly marble",Fine to medium,white,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.4,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000162,,,,,,,,,,,yes,"Fine-grained, veined, white, smelly marble, likely Lunense, Algerian_scritto_Mt-Filfila. Digital microscopy: homeoblastic to heteroblastic fabric. ","Lunense, Algerian_scritto_Mt-Filfila","Lunense, Algerian_scritto_Mt-Filfila",3,,"Fine-grained, veined, white, smelly marble",Fine,white,veined,grey to black,smelly,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.75,homeoblastic to heteroblastic,"s, c",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000163,y,,,,,,,,,,yes,"Fine-grained, banded and veined, white, calcitic, smelly marble, likely unspecified. Optical microscopy: homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. very fine grained, strange texture",unspecified,unspecified,1,"very fine grained, strange texture","Fine-grained, banded and veined, white, calcitic, smelly marble",Fine,white,banded and veined,brown,smelly,Optical microscopy: homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: homeoblastic fabric with mosaic microstructure. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.9,homeoblastic to heteroblastic,na,,yes,yes,0.1,homeoblastic,na,,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-2.56,1,yes,,,,,,,,,,yes,1.10000,11.60000,150.89000,871.01000,0.09504,14.47000,1.57000,4.44000,10.47000,577.75000,0.30000,3.56000,3.30000,10.83000,0.59000,0.88000,0.90000,131.63000,1.11000,0.31000,0.12000,0.03000,0.48000,0.24000,0.09000,8.61000,0.76000,0.67000,0.34000,0.07000,0.02000,0.10000,0.08000,0.07000,0.05000,0.00575,11.40000,3.90000,5.90000,0.20000,0.40000
ISic000163,y,,,,,,,,,,yes,"Very fine to fine-grained, vein, brown, calcitic, smelly marble, likely unspecified. Optical microscopy: homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ",unspecified,unspecified,1,,"Very fine to fine-grained, vein, brown, calcitic, smelly marble",Very fine to fine,brown,vein,white,smelly,Optical microscopy: homeoblastic fabric with mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: homeoblastic fabric with mosaic microstructure. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.9,homeoblastic to heteroblastic,na,,yes,yes,0.1,homeoblastic,na,,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-2.56,1,yes,,,,,,,,,,yes,0.29000,4.56000,54.37000,209.92000,0.05790,3.42000,0.28000,4.56000,1.72000,870.93000,0.16000,3.25000,3.55000,5.47000,0.06000,0.36000,0.06000,117.42000,1.85000,0.02000,0.01000,0.01000,0.15000,0.24000,0.02000,2.74000,1.45000,0.84000,0.77000,0.13000,0.03000,0.19000,0.17000,0.12000,0.07000,0.00028,11.46000,2.17000,5.54000,0.03000,0.10000
ISic000164,,,,,,,,,,,yes,"Fine-grained, homogeneous, light grey, smelly marble, likely Docimian, Lunense. Digital microscopy: heteroblastic to homeoblastic fabric. ","Docimian, Lunense","Docimian, Lunense",2,,"Fine-grained, homogeneous, light grey, smelly marble",Fine,light grey,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.2,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000167,,,,,,,,,,,,"Fine to medium-grained, banded, white, smelly marble, likely Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_white. Digital microscopy: heteroblastic fabric. ","Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_white","Aphrodisian, Docimian, Parian-1, Parian-2, Parian-3, Parian-4, Ephesian_white",3,,"Fine to medium-grained, banded, white, smelly marble",Fine to medium,white,banded,grey,smelly,Digital microscopy: heteroblastic fabric. ,,Digital microscopy: heteroblastic fabric. ,yes,1.4,heteroblastic,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000172,,,,,,,,,,,,"Fine to medium-grained, banded and veined, white, smelly marble, likely Aphrodisian, Proconnesian. Digital microscopy: heteroblastic to homeoblastic fabric. ","Aphrodisian, Proconnesian","Aphrodisian, Proconnesian",2,,"Fine to medium-grained, banded and veined, white, smelly marble",Fine to medium,white,banded and veined,grey ,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,1.7,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000178,y,,,,,,,,,,yes,"Very fine to fine-grained, veined, grey, calcitic marble, likely Lunense. Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ",Lunense,Lunense,1,,"Very fine to fine-grained, veined, grey, calcitic marble",Very fine to fine,grey,veined,grey to black,,"Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ","Optical microscopy: homeoblastic to heteroblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,"s, c",,yes,yes,0.7,homeoblastic to heteroblastic,"c, s",triple points,mosaic microstructure,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.94,2.03,yes,,,,,,,,,,yes,0.55000,9.81000,326.30000,3899.24000,0.13884,30.00000,1.27000,3.55000,14.29000,361.97000,0.23000,3.36000,1.36000,10.21000,0.23000,0.40000,1.37000,192.24000,1.51000,0.73000,0.09000,0.01000,0.16000,0.05000,0.04000,4.95000,0.58000,0.55000,0.43000,0.08000,0.02000,0.09000,0.15000,0.11000,0.09000,0.01597,5.96000,3.21000,21.68000,0.06000,0.06000
ISic000181,,,,,,,,,,,yes,"Very fine to fine-grained, banded, grey, calcitic marble, likely Pentelic. Optical microscopy: homeoblastic to heteroblastic fabric. Digital microscopy: indistinguishable fabric. ""quarzite"" in inv",Pentelic,Pentelic,2,"""quarzite"" in inv","Very fine to fine-grained, banded, grey, calcitic marble",Very fine to fine,grey,banded,dark grey,,Optical microscopy: homeoblastic to heteroblastic fabric. Digital microscopy: indistinguishable fabric. ,Optical microscopy: homeoblastic to heteroblastic fabric. ,Digital microscopy: indistinguishable fabric. ,yes,0.3,indistinguishable,na,,yes,yes,0.7,homeoblastic to heteroblastic,e,,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000184,,,,,,,,,,,yes,"Very fine-grained, homogeneous, white, calcitic, smelly marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic to heteroblastic fabric. ",Lunense,Lunense,1,,"Very fine-grained, homogeneous, white, calcitic, smelly marble",Very fine,white,homogeneous,none,smelly,Optical microscopy: homeoblastic fabric with triple points. Digital microscopy: homeoblastic to heteroblastic fabric. ,Optical microscopy: homeoblastic fabric with triple points. ,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.5,homeoblastic to heteroblastic,"c, e",,yes,yes,0.5,homeoblastic,"c, s",triple points,,,,,,yes,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-1.81,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000195,,,,,,,,,,,,"Coarse-grained, homogeneous, grey, smelly marble, likely Parian-2. Digital microscopy: heteroblastic to homeoblastic fabric. ",Parian-2,Parian-2,3,,"Coarse-grained, homogeneous, grey, smelly marble",Coarse,grey,homogeneous,none,smelly,Digital microscopy: heteroblastic to homeoblastic fabric. ,,Digital microscopy: heteroblastic to homeoblastic fabric. ,yes,2.3,heteroblastic to homeoblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000207,y,,,,,,,,,,yes,"Fine-grained, homogeneous, white, calcitic marble, likely Docimian, Pentelic. Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ","Docimian, Pentelic","Docimian, Pentelic",2,,"Fine-grained, homogeneous, white, calcitic marble",Fine,white,homogeneous,none,,"Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure. Digital microscopy: homeoblastic to heteroblastic fabric. ","Optical microscopy: heteroblastic to homeoblastic fabric with triple points, mosaic microstructure. ",Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.6,homeoblastic to heteroblastic,"c, e",,yes,yes,0.6,heteroblastic to homeoblastic,"c, e",triple points,mosaic microstructure,,,,,yes,quartz (rounded),0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,-6.35,2.88,yes,,,,,,,,,,yes,0.96000,13.60000,247.12000,3178.58000,0.13291,27.73000,1.30000,3.86000,42.65000,414.43000,0.18000,1.86000,1.40000,25.03000,0.15000,0.41000,1.01000,192.15000,6.82000,1.04000,0.20000,0.02000,0.13000,0.10000,0.10000,2.70000,2.57000,1.60000,1.60000,0.27000,0.07000,0.23000,0.64000,0.48000,0.42000,0.01415,12.57000,16.20000,58.77000,0.08000,0.05000
ISic000208,,,,,,,,,,,,"Medium-grained, homogeneous, white, smelly marble, likely Parian-1, Parian-2, Parian-4. Digital microscopy: homeoblastic to heteroblastic fabric. ","Parian-1, Parian-2, Parian-4","Parian-1, Parian-2, Parian-4",2,,"Medium-grained, homogeneous, white, smelly marble",Medium,white,homogeneous,none,smelly,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,2,homeoblastic to heteroblastic,"c, e, s",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic000216,,,,,,,,,,,,"Very fine-grained, homogeneous, white, smelly marble, likely Lunense. Digital microscopy: homeoblastic to heteroblastic fabric. ",Lunense,Lunense,1,,"Very fine-grained, homogeneous, white, smelly marble",Very fine,white,homogeneous,none,smelly,Digital microscopy: homeoblastic to heteroblastic fabric. ,,Digital microscopy: homeoblastic to heteroblastic fabric. ,yes,0.3,homeoblastic to heteroblastic,"c, e",,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
