ISic,,Ancient place,Date after,Date before,Type of text,Execution,Language,Link to image,Museum,ref ,test batch,text description,subtype,subtype dropdown,"certainty for subtype (1 = high, 2 = medium, 3 = low)",notes and comments,macro description,visually assessed granulometry (Very fine < 0.5mm; fine < 1mm; Medium <2mm; Coarse > 2mm),visually assessed colour ,banded and/or veined,visually assessed colour of veins/bands,smell,micro description (OM + DM),OM desc,DM desc,digital microscopy?,digital microscopy MGS (mm),digital microscopy fabric,digital microscopy GBS,digital microscopy triple points,interpreted?,optical microscopy?,optical microscopy MGS (mm),optical microscopy  fabric,optical microscopy GBS,optical microscopy triple points,microstructure,microscopy lineated,microscopy porphyroblasts,microscopy fine grained areas,microscopy strained crystals,XRD?,,XRD carbonate content (%),main carbonate,Calcite,Magnesian calcite,Dolomite,Aragonite,Quartz,Fe-oxihydroxides,Clay Minerals,Alkali_Feldspars,Plagioclases,Pyroxenes,Sulphates,Sulphides,Olivine,Graphite,other,XRD cell parameter a (nm) ,XRD cell parameter a (nm) +-,XRD cell parameter c (nm),XRD cell parameters c (nm) +-,pXRF?,CaO,SiO2,K2O,Fe2O3,As,Au,Co,Cr,Cu,Fe,Hg,Mn,Nb,Pb,Rb,Sr,Th,Ti,Y,Zn,Zr,microscopy / XRD / EPR: dolomite,microscopy / XRD: plagioclase,microscopy / XRD: rutile,microscopy / XRD: pyrite,microscopy / XRD: magnetite,microscopy / XRD: amphibole,microscopy / XRD: titanite,microscopy / XRD: zircon,microscopy / XRD: serpentine,microscopy / XRD: chlorite,microscopy / XRD: epidote,microscopy / XRD: quartz,microscopy / XRD: K mica,microscopy / XRD: Na mica,microscopy / XRD: Fe ore,microscopy / XRD: gypsum,microscopy / XRD: graphite,microscopy / XRD: apatite,isotopes?,isotopes delta18O,isotopes delta13C,EPR?,EPR Mn2+ ave,EPR Mn2+ stdevp,EPR dolomite %,EPR width ave,EPR width stdevp,EPR g=2.0044 ave,EPR g=2.0044 stdevp,EPR g=14.2515 ave,EPR g=14.2515 stdevp,LA-ICP-MS?,Li 7_2_2_1_1,B 11_2_2_1_1,Na 23_2_1_1,Mg 24_2_1_1,Sc 45_2_1_1,Ti 47_2_1_1,V 51_2_1_1,Cr 52_2_1_1,Mn 55_2_1_1,Fe 57_2_1_1,Co 59_2_1_1,Ni 60_2_1_1,Cu 63_2_1_1,Zn 66_2_1_1,Ga 69_2_1_1,As 75_2_1_1,Rb 85_2_1_1,Sr 88_2_1_1,Y 89_2_1_1,Zr 90_2_1_1,Nb 93_2_1_1,Mo 98_2_1_1,Cd 111_2_1_1,Sb 121_2_1_1,Cs 133_2_1_1,Ba 138_2_1_1,La 139_2_1_1,Ce 140_2_1_1,Nd 142_2_1_1,Sm 152_2_1_1,Eu 153_2_1_1,Gd 158_2_1_1,Dy 164_2_1_1,Er 166_2_1_1,Yb 174_2_1_1,Hf 180_2_1_1,W 184_2_1_1,Pb 208_2_1_1,Bi 209_2_1_1,Th 232_2_1_1,U 238_2_1_1
ISic001957,,,,,,,,,,,,"Medium-grained, homogeneous, white marble, likely Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white. ","Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white","Aphrodisian, Parian-2, Parian-1, Parian-3, Parian-4, Proconnesian, Thasian-3, Ephesian_white",3,,"Medium-grained, homogeneous, white marble",Medium,white,homogeneous,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004459,,,,,,,,,,,yes,"banded, grey marble, likely Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto. ","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto",1,,"banded, grey marble",,grey,banded,white,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISic004460,,,,,,,,,,,,"banded, grey marble, likely Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto. ","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto",2,,"banded, grey marble",,grey,banded,white,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,AC,check,"homogeneous, grey marble, likely Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto. macroscopic ID","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto","Aphrodisian, Naxian, Thasian-1, Thasian-2, Proconnesian, Hymettan, Pentelic, Lunense, Ephesian_scritto",3,macroscopic ID,"homogeneous, grey marble",,grey,homogeneous,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Very fine to coarse-grained, homogeneous, white/whitish, calcitic marble, likely Aphrodisian. Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, sometimes strained crystals. ",Aphrodisian,Aphrodisian,1,,"Very fine to coarse-grained, homogeneous, white/whitish, calcitic marble",Very fine to coarse,white/whitish,homogeneous,,,"Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, sometimes strained crystals. ","Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, sometimes strained crystals. ",,no,,,,,,yes,2.081544478,heteroblastic,,,mosaic microstructure,sometimes lineated,,,sometimes strained crystals,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor,,,,,,,,,,,,minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Very fine to medium-grained, homogeneous, white, calcitic marble, likely Docimian. Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, strained crystals. ",Docimian,Docimian,1,,"Very fine to medium-grained, homogeneous, white, calcitic marble",Very fine to medium,white,homogeneous,,,"Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, strained crystals. ","Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, strained crystals. ",,no,,,,,,yes,0.7725318867,heteroblastic to homeoblastic,"e, s",,mosaic microstructure,,,,strained crystals,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Very fine to medium-grained, homogeneous, white, calcitic marble, likely Göktepe. Optical microscopy: homeoblastic to heteroblastic fabric with rare triple points, mosaic microstructure. ",Göktepe,Göktepe,1,,"Very fine to medium-grained, homogeneous, white, calcitic marble",Very fine to medium,white,homogeneous,,,"Optical microscopy: homeoblastic to heteroblastic fabric with rare triple points, mosaic microstructure. ","Optical microscopy: homeoblastic to heteroblastic fabric with rare triple points, mosaic microstructure. ",,no,,,,,,yes,0.6652357458,homeoblastic to heteroblastic,c,rare triple points,mosaic microstructure,,,,,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Fine-grained, homogeneous, grey/greyish, calcitic, smelly marble, likely Hymettan. Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, lineated. ",Hymettan,Hymettan,1,,"Fine-grained, homogeneous, grey/greyish, calcitic, smelly marble",Fine,grey/greyish,homogeneous,,smelly,"Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, lineated. ","Optical microscopy: heteroblastic to homeoblastic fabric with mosaic microstructure, lineated. ",,no,,,,,,yes,0.6223163072,heteroblastic to homeoblastic,c,,mosaic microstructure,lineated,,,,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor,minor,,minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Very fine to fine-grained, banded and veined, white/whitish , calcitic marble, likely Lunense. Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. ",Lunense,Lunense,1,,"Very fine to fine-grained, banded and veined, white/whitish , calcitic marble",Very fine to fine,white/whitish ,banded and veined,grey to black,,"Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. ","Optical microscopy: homeoblastic fabric with triple points, mosaic microstructure. ",,no,,,,,,yes,0.7081535473,homeoblastic,"s, c",triple points,mosaic microstructure,,,,,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minor,minor,minor,minor,minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Antonelli and Lazzarini 2015,,"Medium to coarse-grained, homogeneous, white, calcitic marble, likely Naxian. Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, strained crystals. ",Naxian,Naxian,1,,"Medium to coarse-grained, homogeneous, white, calcitic marble",Medium to coarse,white,homogeneous,,,"Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, strained crystals. ","Optical microscopy: heteroblastic fabric with mosaic microstructure, sometimes lineated, strained crystals. ",,no,,,,,,yes,6.394849831,heteroblastic,e,,mosaic microstructure,sometimes lineated,,,strained crystals,,,0,calcitic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
