ana,type (expanded),type,type same as,subtype,subtype same as,PCLI,ADM1,ADM2,ADM3,PPL,ANS,ISL,MT,VLC,CAPE,PEN,placeName,,BGS code,similar to BGS code,SGI code,similar to SGI code,Basilone 2018 code,similar to ref code,"references, fogli SGI",coordinates,radius (m),uri
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.red.Chalcidicum,stone.sedimentary_rock.limestone.calcite_limestone.red,stone.limestone.polishable.red,calcare-lucidabile_rosso,Chalcidicum,fior_di_pesco,greece,central greece,Euboea,Dimos Eretria,,,,,,,,Eretria,,CLST,LMST,na,na,na,,2019 Antonelli,"38.45448, 23.87414",,https://www.geonames.org/8133902/dimos-eretria.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,unspecified,,italy,Sicily,,,,,,,,,,,,CLST,LMST,na,na,na,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white.calcare-lucidabile_bianco,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,sicilia-orientale,Scillato_FM,italy,Sicily,province of Catania,Castel di Iudica,,,,Monte Iudica,,,,Iudica,Mt Judica,CLST,LMST,SCT,,"MUF, SCT",,633,"37.5,  14.63333",5000,https://www.geonames.org/2524490/monte-iudica.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white.calcare-lucidabile_bianco,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,sicilia-occidentale,Scillato_FM,italy,Sicily,province of Palermo,Palazzo Adriano,,,,,,,,Palazzo Adriano,,CLST,LMST,SCT,,"MUF, SCT",,,"37.68104, 13.37905",12000,https://www.geonames.org/6539134/palazzo-adriano.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.white.calcare-lucidabile_bianco_sicilia-occidentale,stone.sedimentary_rock.limestone.calcite_limestone.white,stone.limestone.polishable.white,calcare-lucidabile_bianco,sicilia-occidentale,lapis_drepanitanus,italy,Sicily,province of Trapani,,,,,,,,,Erice,deformation of pelagian block,LMMST,LMST,,,LTM,,,"37.83333,  12.66667",30000,https://www.geonames.org/2522875/trapani.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.limestone.polishable.yellow,calcare-lucidabile_giallo,unspecified,,,,,,,,,,,,,,,CLST,LMST,na,na,na,,,,,
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.yellow.calcare-lucidabile_giallo_giallo-antico,stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.limestone.polishable.yellow,calcare-lucidabile_giallo,tipo-giallo-antico,giallo_antico,,,,,,,,,,,,,,CLST,LMST,,,,,,,,
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.yellow.calcare-lucidabile_giallo_sicilia-occidentale,stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.limestone.polishable.yellow,calcare-lucidabile_giallo,sicilia-occidentale,giallo_di_Castronovo,italy,Sicily,Province of Palermo,Castronovo di Sicilia,,,,,,,,Castronovo di Sicilia,sicanian,LMMST,LMST,,,LTM,,"2011 Barone, Mazzoleni, Monaco","37.67894,  13.60346",5000,https://www.geonames.org/2525074/castronuovo-di-sicilia.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.yellow.calcare-lucidabile_giallo_giallo-antico,stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.limestone.polishable.yellow,calcare-lucidabile_giallo,giallo-antico-kristel,"kristel, giallo_antico",algeria,Oran,Gdyel,Commune de Gdyel,Kristel,,,,,,,Kristel,,CLST,LMST,na,na,na,,2010 Antonelli et al,"35.82413,  -0.48303",,https://www.geonames.org/2491379/kristel.html
#material.inorganic.stone.sedimentary_rock.limestone.calcite_limestone.yellow.calcare-lucidabile_giallo_giallo-antico,stone.sedimentary_rock.limestone.calcite_limestone.yellow,stone.limestone.polishable.yellow,calcare-lucidabile_giallo,giallo-antico-chemtou,"numidicum, giallo_antico",tunisia,Jendouba,Jendouba Nord,Chemtou,,,,,,,,Chemtou,,CLST,LMST,na,na,na,,2010 Antonelli et al,"36.52736,  8.58599",,https://www.geonames.org/11904191/chemtou.html
#material.inorganic.stone.sedimentary_rock.limestone,stone.sedimentary_rock.limestone.polishable,stone.limestone.polishable,calcare-lucidabile,unspecified,,italy,Sicily,,,,,,,,,,,,LMMST,LMST,na,na,,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.sedimentary_rock.sandstone ,stone.sedimentary_rock.sandstone ,stone.sandstone,arenaria,unspecified,,italy,Sicily,,,,,,,,,,,,AREN,,na,na,,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Reitano-sandstone,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,unspecified,,italy,Sicily,,,,,,,,,,,,AREN,,,,,,,,8000,https://www.geonames.org/6541333/reitano.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Reitano-sandstone,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,flysch_di_Reitano-sandstone,Reitano_FM,italy,Sicily,province of Messina ,Reitano,,,,,,,,Reitano,tethyan domain,AREN,,,,REI,,,"37.97206, 14.34327",8000,https://www.geonames.org/6541333/reitano.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_di_Capo_d-Orlando,stone.sedimentary_rock.sandstone.grey,stone.sandstone.grey,arenaria-grigia,flysch_di_Capo_d-Orlando,,italy,Sicily,province of Messina ,Capo d'Orlando,,,,,,,,Capo d'Orlando,tethyan domain,AREN,,CODb,,,,"587, 600","38.02466, 15.01268",20000,https://www.geonames.org/2525384/capo-d-orlando.html
#material.inorganic.stone.sedimentary_rock.sandstone.flysch_numidico,stone.sedimentary_rock.sandstone.yellow,stone.sandstone.yellow,arenaria-gialla,flysch_numidico,,italy,Sicily,,,,,,,,,,,,AREN,,,,,,,"37.75, 14.25",170000,https://www.geonames.org/2523119/sicilia.html
#material.inorganic.stone.unspecified,stone.unspecified,stone.unspecified,,unverified,,,,,,,,,,,,,,,PA_RSD,,,,,,,,,
