ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000023,ISic000023,yes,yes,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on XRD, optical microscopy","XRD, optical microscopy",,,,XRD,optical microscopy,,,,yes,yes,,ISic000023,,270,330,Panhormus,Palermo,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000024,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000024,,285,285,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000025,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000025,,305,307,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000026,ISic000026,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000026,,314,315,Panhormus,Palermo,limestone,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000027,ISic000027,yes,yes,no,no,stone.marble,TRUE,,,"identification based on XRD, optical microscopy, stable isotopes analysis","XRD, optical microscopy, stable isotopes analysis",,,,XRD,optical microscopy,stable isotopes analysis,,,yes,yes,,ISic000027,yes,175,250,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000028,ISic000028,yes,no,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on XRD, optical microscopy","XRD, optical microscopy",,,,XRD,optical microscopy,,,,yes,yes,,ISic000028,,203,204,Panhormus,Palermo,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000029,ISic000029,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on XRD,XRD,,,,XRD,,,,,yes,yes,,ISic000029,,151,200,Panhormus,Palermo,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000030,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000030,,1,300,Panhormus,Palermo,limestone,votive,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000031,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000031,,101,200,Panhormus,Palermo,marble,honorific,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000032,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000032,,1,300,Panhormus,Palermo,limestone,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000033,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000033,,101,150,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000034,ISic000034,yes,yes,no,no,stone.marble,TRUE,,,"identification based on XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS","XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS",,,,XRD,optical microscopy,stable isotopes analysis,EPR,LA-ICP-MS,yes,yes,,ISic000034,yes,1,300,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000035,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000035,,1,300,Panhormus,Palermo,limestone,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
