ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000465,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000465,,1,500,Syracusae,Siracusa,stone,funerary,chiselled,Latin,Museo Archeologico Regionale Paolo Orsi,
ISic000466,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000466,,1,300,Acrae,,stone,funerary,chiselled,Latin,,
ISic000467,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000467,,1,200,,Caltanissetta,stone,funerary,chiselled,Latin,"serving as a water basin in Norman church of S. Spirito, outside Caltanissetta (so
                            NSA)",
ISic000468,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000468,,101,400,Phintias,Licata,marble,dedication,chiselled,Latin,unknown,
ISic000469,ISic000469,yes,yes,yes,yes,stone.calcarenite,TRUE,,,"identification based on find, XRD, optical microscopy","find, XRD, optical microscopy",,find,,XRD,optical microscopy,,,,yes,yes,,ISic000469,,-300,-151,Halaesa,,limestone,dedication,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000470,ISic000470,yes,,,,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000470,,1,200,Panhormus,Palermo,marble,advertisement,chiselled,Latin and Ancient Greek,Museo Archeologico Regionale Antonino Salinas,
ISic000471,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000471,,1,400,Tyndaris,Tindari,marble,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000472,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000472,,1,300,Tyndaris,Tindari,marble (white),unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000473,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000473,,1,100,Agrigentum,Agrigento,limestone,dedication,chiselled rubrication,Latin,Museo Regionale Archeologico Pietro Griffo,
ISic000474,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000474,,51,250,Agrigentum,Agrigento,marble,funerary,chiselled,Latin,Museo Regionale Archeologico Pietro Griffo,
ISic000475,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000475,,1,300,Agrigentum,Agrigento,stone,unknown,chiselled,Latin,Museo Regionale Archeologico Pietro Griffo,
ISic000476,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000476,,1,500,Agrigentum,Agrigento,stone,unknown,chiselled,Latin,Museo Regionale Archeologico Pietro Griffo,
ISic000477,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000477,,570,570,,Castronuovo di Sicilia,stone,funerary,chiselled,Latin,,
ISic000478,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000478,,-200,-1,,Santo Stefano Quisquina,stone,unknown,chiselled,Latin,unknown,
ISic000479,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000479,,201,600,,Vicari,marble,funerary,chiselled,Latin,Chiesa matrice,
ISic000480,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000480,,,,,Corleone,stone,unknown,chiselled,Latin,unknown,
ISic000481,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000481,,301,350,Thermae Selinuntiae,Sciacca,stone,building,chiselled,Latin,unknown,
ISic000482,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000482,,119,119,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,Cathedral,
ISic000483,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000483,,241,244,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000484,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000484,,301,350,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000485,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000485,,151,300,Mazara,Mazara del Vallo,stone,dedication,chiselled,Latin,,
ISic000486,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000486,,151,250,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000487,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000487,,1,300,Mazara,Mazara del Vallo,marble,funerary,chiselled,Latin,,
ISic000488,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000488,,,,Mazara,Mazara del Vallo,stone,unknown,chiselled,Latin,,
ISic000489,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000489,,301,500,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000490,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000490,,1,300,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000491,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000491,,251,350,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000492,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000492,,175,225,Mazara,Mazara del Vallo,limestone,honorific,chiselled,Latin,Palazzo Vescovile (courtyard),
ISic000493,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000493,,1,300,Mazara,Mazara del Vallo,stone,honorific,chiselled,Latin,,
ISic000494,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000494,,1,300,Mazara,Mazara del Vallo,marble,funerary,chiselled,Latin,,
ISic000495,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000495,,51,200,Mazara,Mazara del Vallo,marble,funerary,chiselled,Latin,,
ISic000496,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000496,,1,300,Mazara,Mazara del Vallo,stone,funerary,chiselled,Latin,,
ISic000497,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000497,,1,300,Mazara,Mazara del Vallo,stone,funerarypossibly honorific,chiselled,Latin,,
ISic000498,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000498,,,,Mazara,Mazara del Vallo,stone,unknown,chiselled,Latin,,
ISic000499,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000499,,,,Mazara,Mazara del Vallo,stone,unknown,chiselled,Latin,,
ISic000500,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000500,,1,300,Mazara,Mazara del Vallo,stone,unknown,chiselled,Latin,,
ISic000501,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000501,,373,373,Mazara,Mazara del Vallo,stone,unknown,chiselled,Latin,,
ISic000502,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000502,,201,300,Lilybaeum,Marsala,stone,dedication,chiselled,Latin,,
ISic000503,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000503,,1,200,Lilybaeum,Marsala,stone,dedication,chiselled,Latin,,
ISic000504,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000504,,1,300,Lilybaeum,Marsala,stone,dedication,chiselled,Latin,Bishop's Palace,
ISic000505,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000505,,1,300,Lilybaeum,Marsala,stone,votive,mosaic,Latin,,
ISic000506,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000506,,1,50,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Bishop's Palace,
ISic000507,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000507,,84,84,Lilybaeum,Marsala,stone,buildingpossibly honorific,chiselled,Latin,,
ISic000508,ISic000508,yes,no,,,stone.calcite_limestone,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000508,,213,213,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000509,ISic000509,yes,yes,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000509,,364,378,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000510,ISic000510,yes,yes,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000510,,364,378,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000511,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000511,,1,300,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,,
ISic000512,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000512,,501,535,Lilybaeum,Marsala,porphyry,terminus,chiselled,Latin,unknown,
ISic000513,ISic000513,yes,no,,,stone.calcite_limestone,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000513,,175,225,Lilybaeum,Marsala,limestone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000514,ISic000514,yes,yes,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000514,,301,400,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000515,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000515,,1,300,Lilybaeum,Marsala,stone,building,chiselled,Latin,,
ISic000516,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000516,,201,300,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,,
ISic000517,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000517,,151,200,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,,
ISic000518,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000518,,1,300,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,unknown,
ISic000519,ISic000519,yes,no,yes,yes,stone.calcite_limestone,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000519,,0193 0275,325,Lilybaeum,Marsala,stone,honorific,chiselled,Latin,Museo Civico di Marsala,
ISic000520,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000520,,,,,,,,,,,
ISic000521,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000521,,1,300,Lilybaeum,Marsala,stone,unknown,chiselled,Latin,,
ISic000522,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000522,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000523,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000523,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000524,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000524,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000525,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000525,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000526,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000526,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000527,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000527,,1,300,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000528,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000528,,,,Lilybaeum,Marsala,stone,unknown,chiselled,Latin,,
ISic000529,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000529,,,,Lilybaeum,Marsala,stone,unknown,chiselled,Latin,,
ISic000530,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000530,,,,Lilybaeum,Marsala,stone,unknown,chiselled,Latin,,
ISic000531,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000531,,,,Lilybaeum,Marsala,stone,unknown,chiselled,Latin,,
ISic000532,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000532,,201,600,Lilybaeum,Marsala,stone,funerary,chiselled,Latin,,
ISic000533,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000533,,-200,-1,Eryx,Erice,stone,dedication,chiselled,Latin,,
ISic000534,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000534,,-200,-1,Eryx,Erice,stone,dedication,chiselled,Latin,,
ISic000535,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000535,,-200,-1,Eryx,Erice,stone,dedication,chiselled,Latin,Biblioteca communale,
ISic000536,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000536,,1,100,Drepanum,Trapani,marble (white),unknown,chiselled,Latin,Museo Regionale Agostino Pepoli,
ISic000537,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000537,,21,25,Eryx,Erice,stone,dedication,chiselled,Latin,Museo Regionale Agostino Pepoli,
ISic000538,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000538,,-100,100,Eryx,Erice,stone,dedication,chiselled,Latin,,
ISic000539,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000539,,1,100,Eryx,Erice,marble,dedication,chiselled,Latin,,
ISic000540,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000540,,,,Eryx,Erice,stone,unknown,chiselled,Latin,,
ISic000541,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000541,,1,300,Drepanum,Trapani,stone,funerary,chiselled,Latin,unknown,
ISic000542,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000542,,,,Drepanum,Trapani,stone,unknown,chiselled,Latin,unknown,
ISic000543,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000543,,1,300,Parthenicum,Partinico,stone,funerary,chiselled,Latin,unknown,
ISic000544,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000544,,1,300,Panhormus,Palermo,stone,dedication,chiselled,Latin,unknown,
ISic000545,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000545,,1,100,Panhormus,Palermo,stone,dedication,chiselled,Latin,not located,
ISic000546,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000546,,201,250,Panhormus,Palermo,marble,honorific,chiselled,Latin,unknown,
ISic000547,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000547,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000548,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000548,,201,300,Panhormus,Palermo,marble,funerary,chiselled,Latin,Cathedral,
ISic000549,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000549,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000550,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000550,,,,Panhormus,Palermo,stone,unknown,chiselled,Latin,,
ISic000551,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000551,,1,300,Panhormus,Palermo,stone,honorific,chiselled,Latin,,
ISic000552,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000552,,201,500,Sicilia,Sicily,stone,funerary,chiselled,Latin,,
ISic000553,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000553,,,,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000554,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000554,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000555,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000555,,101,400,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000556,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000556,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000557,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000557,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000558,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000558,,,,Sicilia,Sicily,stone,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000559,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000559,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000560,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000560,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000561,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000561,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000562,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000562,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000563,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000563,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000564,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000564,,201,600,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000565,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000565,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000566,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000566,,1,400,Bovillae,,stone,funerary,chiselled,Latin,,
ISic000567,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000567,,1,300,Sicilia,Sicily,stone,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000568,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000568,,1,300,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000569,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000569,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,unknown,
ISic000570,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000570,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000571,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000571,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000572,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000572,,1,300,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000573,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000573,,,,Roma,Rome,marble,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000574,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000574,,,,Roma,Rome,marble,unknown,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000575,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000575,,201,600,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000576,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000576,,201,600,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000577,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000577,,201,600,Panhormus,Palermo,stone,funerary,chiselled,Latin,,
ISic000578,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000578,,1,300,Thermae Himeraeae,Termini Imerese,stone,funerary,chiselled,Latin,unknown,
ISic000579,ISic000579,yes,yes,no,no,stone.marble,TRUE,,,"identification based on digital microscopy, XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS","digital microscopy, XRD, optical microscopy, stable isotopes analysis, EPR, LA-ICP-MS",,,digital microscopy,XRD,optical microscopy,stable isotopes analysis,EPR,LA-ICP-MS,yes,yes,,ISic000579,yes,1,300,Thermae Himeraeae,Termini Imerese,marble,funerary,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000580,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000580,,1,400,Cephaloedium,Cefalù,stone,unknown,chiselled,Latin,unknown,
ISic000581,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000581,,175,175,Cephaloedium,Cefalù,marble,testament,chiselled,Latin,Duomo,
ISic000582,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000582,,-12,14,Halaesa,,stone,honorific,chiselled,Latin,unknown,
ISic000583,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000583,,-193,-193,Halaesa,,breccia,honorific,chiselled,Latin,unknown,
ISic000584,ISic000584,yes,no,,,stone.calcilutite,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000584,,1,100,Halaesa,Castel di Tusa,limestone,funerary,chiselled,Latin,Antiquarium e sito archeologico di Halaesa,
ISic000585,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000585,,1,400,Amestratus,Mistretta,stone,funerary,chiselled,Latin,,
ISic000586,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000586,,1,400,Capitium,Capizzi,stone,funerary,chiselled,Latin,unknown,
ISic000587,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000587,,-13,14,Haluntium,San Marco d'Alunzio,stone,honorific,chiselled,Latin,unknown,
ISic000588,,no,no,,,stone.breccia,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000588,,42,68,Haluntium,San Marco d'Alunzio,breccia,dedication,chiselled,Latin,Museo della cultura e delle Arti Figurative Bizantine e Normanne,
ISic000589,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000589,,1,400,Haluntium,San Marco d'Alunzio,stone,unknown,chiselled,Latin,,
ISic000590,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000590,,,,,,,,,,,
ISic000591,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000591,,1,400,Haluntium,San Marco d'Alunzio,marble (red),honorific,chiselled,Latin,,
ISic000592,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000592,,1,400,Haluntium,San Marco d'Alunzio,stone,funerary,chiselled,Latin,,
ISic000593,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000593,,1,300,Haluntium,San Marco d'Alunzio,stone,funerary,chiselled,Latin,,
ISic000594,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000594,,1,400,Haluntium,San Marco d'Alunzio,stone,unknown,chiselled,Latin,,
ISic000595,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000595,,198,217,Tyndaris,Tindari,marble,honorific,chiselled,Latin,unknown,
ISic000596,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000596,,,,Tyndaris,Tindari,marble,unknown,chiselled,Latin,unknown,
ISic000597,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000597,,1,400,Tyndaris,Tindari,stone,funerary,chiselled,Latin,unknown,
ISic000598,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000598,,1,400,Tyndaris,Tindari,stone,funerary,chiselled,Latin,unknown,
